strain	date	url	pango_lineage	genbank_accession	S1_mutations	clade_membership	recency	mutational_fitness	epiweek	region	emerging_lineage	host	country	division	current_frequency	author	accession	originating_lab	submitting_lab	logistic_growth
USA/MO-CDC-QDX36853417/2022	2022-05-09		BA.2	ON633970	25.00	21L (Omicron)	One month ago	1.35	202219	North America		Homo sapiens	USA	Missouri	0.00	Howard et al EH		Quest Diagnostics Incorporated	CDC-OAMD	-6.61
Japan/PG-247744/2022	2022-05-10		BA.2	BS004510	25.00	21L (Omicron)	3-7 days ago	1.34	202219	Asia		Homo sapiens	Japan	Shizuoka	0.00	Hikida et al				-6.61
USA/ME-Broad-CRSP_7U6TS57GBDNOB6QL/2022	2022-04-26		BA.2	ON509426	25.00	21L (Omicron)	Older	1.34	202217	North America		Homo sapiens	USA	Maine	0.00	Lemieux et al O		Broad Institute Clinical Research Sequencing Platform	Broad Institute Genomic Center for Infectious Diseases	-6.61
USA/TN-CDC-LC0684270/2022	2022-06-02		BA.2	ON772107	25.00	21L (Omicron)	1-2 days ago	1.35	202222	North America		Homo sapiens	USA	Tennessee	0.04	Howard et al EI				-6.61
USA/WI-CDC-ASC210720936/2022	2022-03-28		BA.2	ON235513	25.00	21L (Omicron)	Older	1.35	202213	North America		Homo sapiens	USA	Wisconsin		Howard et al EJ		Aegis Sciences Corporation	CDC-OAMD	
USA/ND-CDC-2-5929505/2022	2022-04-11		BA.2	ON494200	25.00	21L (Omicron)	Older	1.35	202215	North America		Homo sapiens	USA	North Dakota	0.00	Sheth et al AM		ND Dept. of Health Laboratory Services-Microbiology	CDC DVD Genomics and DIscovery Team	-6.61
USA/VI-CDC-2-5929518/2022	2022-04-19		BA.2	ON494428	25.00	21L (Omicron)	Older	1.35	202216	North America		Homo sapiens	USA	Virgin Islands	0.00	Sheth et al AN		VI-US Virgin Islands Department of Health	CDC DVD Genomics and DIscovery Team	-6.61
USA/ND-CDC-2-5987528/2022	2022-05-03		BA.2	ON620897	25.00	21L (Omicron)	One month ago	1.35	202218	North America		Homo sapiens	USA	North Dakota	0.00	Sheth et al AO		ND Dept. of Health Laboratory Services-Microbiology	CDC DVD Genomics and DIscovery Team	-6.61
USA/VA-CDC-LC0657079/2022	2022-05-20		BA.2.12.1	ON659316	26.00	21L (Omicron)	One month ago	1.28	202220	North America		Homo sapiens	USA	Virginia	0.01	Howard et al EK		Laboratory Corporation of America	CDC-OAMD	-6.61
USA/KS-CDC-STM-J96HEC45T/2022	2022-06-02		BA.2.12.1	ON765008	26.00	21L (Omicron)	1-2 days ago	1.36	202222	North America		Homo sapiens	USA	Kansas	0.04	Howard et al EL				-6.61
USA/GA-CDC-STM-EQP3P9YGF/2022	2022-06-01		BA.2.12.1	ON742283	26.00	21L (Omicron)	3-7 days ago	1.37	202222	North America		Homo sapiens	USA	Georgia	0.04	Howard et al EM		'Helix'	CDC-OAMD	-6.61
USA/RI-CDC-LC0627256/2022	2022-05-08		BA.2.12.1	ON588710	26.00	22C (Omicron)	One month ago	1.35	202219	North America	BA.2.12.1	Homo sapiens	USA	Rhode Island	0.00	Howard et al EN		Laboratory Corporation of America	CDC-OAMD	-6.61
USA/DE-CDC-STM-VJ692HJ24/2022	2022-05-21		BA.2.12.1	ON655394	26.00	22C (Omicron)	One month ago	1.42	202220	North America	BA.2.12.1	Homo sapiens	USA	Delaware	0.02	Howard et al EO		'Helix'	CDC-OAMD	-6.61
USA/NJ-CDC-LC0631079/2022	2022-05-11		BA.2.12.1	ON592428	27.00	22C (Omicron)	One month ago	1.44	202219	North America	BA.2.12.1	Homo sapiens	USA	New Jersey	0.00	Howard et al EP		Laboratory Corporation of America	CDC-OAMD	-6.61
USA/WI-CDC-LC0639546/2022	2022-05-08		BA.2.12.1	ON606870	26.00	22C (Omicron)	One month ago	1.37	202219	North America	BA.2.12.1	Homo sapiens	USA	Wisconsin	0.00	Howard et al EQ		Laboratory Corporation of America	CDC-OAMD	-6.61
USA/PA-CDC-LC0678934/2022	2022-05-30		BA.2.12.1	ON770407	28.00	22C (Omicron)	1-2 days ago	1.37	202222	North America	BA.2.12.1	Homo sapiens	USA	Pennsylvania	0.03	Howard et al ER				-6.61
USA/LA-BIE-LSUH002942/2022	2022-05-02		BA.2.12.1	ON526944	27.00	22C (Omicron)	Older	1.35	202218	North America	BA.2.12.1	Homo sapiens	USA	Louisiana	0.00	Feehan et al B				-6.61
USA/CT-CDC-QDX36652367/2022	2022-04-30		BA.2.12.1	ON573780	26.00	22C (Omicron)	One month ago	1.37	202217	North America	BA.2.12.1	Homo sapiens	USA	Connecticut	0.00	Howard et al ES		Quest Diagnostics Incorporated	CDC-OAMD	-6.61
USA/NJ-CDC-QDX35483045/2022	2022-04-01		BA.2.12.1	ON307788	26.00	22C (Omicron)	Older	1.37	202213	North America	BA.2.12.1	Homo sapiens	USA	New Jersey		Howard et al ET		Quest Diagnostics Incorporated	CDC-OAMD	
USA/SC-CDC-LC0679803/2022	2022-06-01		BA.2.12.1	ON771538	26.00	22C (Omicron)	1-2 days ago	1.36	202222	North America	BA.2.12.1	Homo sapiens	USA	South Carolina	0.04	Howard et al EU				-6.61
USA/CO-CDC-STM-99M9F5H23/2022	2022-05-17		BA.2.12.1	ON635435	26.00	22C (Omicron)	One month ago	1.37	202220	North America	BA.2.12.1	Homo sapiens	USA	Colorado	0.01	Howard et al EV		'Helix'	CDC-OAMD	-6.61
USA/IN-CDC-STM-P36UBYQ5K/2022	2022-06-03		BA.2.12.1	ON765492	26.00	22C (Omicron)	1-2 days ago	1.36	202222	North America	BA.2.12.1	Homo sapiens	USA	Indiana	0.04	Howard et al EW				-6.61
USA/MO-CDC-QDX36219305/2022	2022-04-22		BA.2.12.1	ON463076	26.00	22C (Omicron)	Older	1.37	202216	North America	BA.2.12.1	Homo sapiens	USA	Missouri	0.00	Howard et al EX		Quest Diagnostics Incorporated	CDC-OAMD	-6.61
USA/CO-CDC-STM-T3E5TR7DT/2022	2022-05-17		BA.2.12.1	ON689923	26.00	22C (Omicron)	One week ago	1.37	202220	North America	BA.2.12.1	Homo sapiens	USA	Colorado	0.01	Howard et al EY		'Helix'	CDC-OAMD	-6.61
USA/HI-CDC-LC0606442/2022	2022-04-29		BA.2.12.1	ON498739	26.00	22C (Omicron)	Older	1.37	202217	North America	BA.2.12.1	Homo sapiens	USA	Hawaii	0.00	Howard et al EZ		Laboratory Corporation of America	CDC-OAMD	-6.61
USA/VA-CDC-LC0684778/2022	2022-06-01		BA.2.12.1	ON771749	26.00	22C (Omicron)	1-2 days ago	1.37	202222	North America	BA.2.12.1	Homo sapiens	USA	Virginia	0.04	Howard et al FA				-6.61
USA/HI-CDC-QDX36826377/2022	2022-05-04		BA.2.12.1	ON632178	26.00	22C (Omicron)	One month ago	1.37	202218	North America	BA.2.12.1	Homo sapiens	USA	Hawaii	0.00	Howard et al FB		Quest Diagnostics Incorporated	CDC-OAMD	-6.61
USA/ME-Broad-CRSP_G3I7A2Z3FPSLHVJW/2022	2022-05-05		BA.2.12.1	ON552109	26.00	22C (Omicron)	One month ago	1.37	202218	North America	BA.2.12.1	Homo sapiens	USA	Maine	0.00	Lemieux et al P		Broad Institute Clinical Research Sequencing Platform	Broad Institute Genomic Center for Infectious Diseases	-6.61
USA/2105999/2022	2022-05-10		BA.2.12.1	ON773683	26.00	22C (Omicron)	1-2 days ago	1.37	202219	North America	BA.2.12.1	Homo sapiens	USA	Iowa	0.00	Reeb et al C				-6.61
USA/VT-CDCBI-CRSP_DJGEFIG7AMHN3SYS/2022	2022-05-14		BA.2.12.1	ON723224	26.00	22C (Omicron)	One week ago	1.37	202219	North America	BA.2.12.1	Homo sapiens	USA	Vermont	0.01	Lemieux et al Q		Broad Institute Clinical Research Sequencing Platform	Broad Institute Genomic Center for Infectious Diseases	-6.61
USA/IN-CDC-QDX37596774/2022	2022-05-31		BA.2.12.1	ON766931	26.00	22C (Omicron)	1-2 days ago	1.37	202222	North America	BA.2.12.1	Homo sapiens	USA	Indiana	0.03	Howard et al FC				-6.61
USA/KS-CDC-STM-8H6SKVE9U/2022	2022-06-01		BA.2.12.1	ON764866	26.00	22C (Omicron)	1-2 days ago	1.37	202222	North America	BA.2.12.1	Homo sapiens	USA	Kansas	0.04	Howard et al FD				-6.61
USA/MD-CDC-LC0684801/2022	2022-06-01		BA.2.12.1	ON771809	26.00	22C (Omicron)	1-2 days ago	1.37	202222	North America	BA.2.12.1	Homo sapiens	USA	Maryland	0.04	Howard et al FE				-6.61
USA/DE-CDC-LC0663400/2022	2022-05-16		BA.2.12.1	ON686434	26.00	22C (Omicron)	One week ago	1.37	202220	North America	BA.2.12.1	Homo sapiens	USA	Delaware	0.01	Howard et al FF		Laboratory Corporation of America	CDC-OAMD	-6.61
USA/UT-CDC-STM-N57W3PVGT/2022	2022-06-02		BA.2.12.1	ON743034	26.00	22C (Omicron)	3-7 days ago	1.37	202222	North America	BA.2.12.1	Homo sapiens	USA	Utah	0.04	Howard et al FG		'Helix'	CDC-OAMD	-6.61
USA/CA-CDC-ASC210849438/2022	2022-03-30		BA.2	ON235726	25.00	21L (Omicron)	Older	1.34	202213	North America		Homo sapiens	USA	California		Howard et al FH		Aegis Sciences Corporation	CDC-OAMD	
USA/1015005716_4-27-2022/2022	2022-04-18		BA.2	ON525028	25.00	21L (Omicron)	Older	1.35	202216	North America		Homo sapiens	USA	Arkansas	0.00	Harley et al E		University of Arkansas for Medical Sciences	University of Arkansas Medical Sciences/Arkansas Children's Hospital	-7.14
OW640360	2022-04-08		BA.2	OW640360	25.00	21L (Omicron)	Older	1.37	202214	Europe		Homo sapiens	Germany	Bavaria	0.00	? A		SYNLAB MVZ Weiden, Zur Kesselschmiede 4; 92637 Weiden in der Oberpfalz	Robert Koch Institute	-6.65
KEN/SS6309/2022	2022-02-02		BA.2	ON198660	25.00	21L (Omicron)	Older	1.35	202205	Africa		Homo sapiens	Kenya	Kenya		Githinji et al BP				
MMR/DSMRC-097/2022	2022-03-11		BA.2	ON038769	25.00	21L (Omicron)	Older	1.34	202210	Asia		Homo sapiens	Myanmar	Myanmar		Oo et al G				
USA/PA-CDC-QDX35917221/2022	2022-04-13		BA.2.3	ON382979	25.00	21L (Omicron)	Older	1.35	202215	North America	BA.2.3	Homo sapiens	USA	Pennsylvania	0.00	Howard et al FI		Quest Diagnostics Incorporated	CDC-OAMD	-6.46
Japan/SZ-NIG-Y220135/2022	2022-04-17		BA.2.3	BS004602	25.00	21L (Omicron)	3-7 days ago	1.37	202216	Asia	BA.2.3	Homo sapiens	Japan	Shizuoka	0.00	Nagaoka et al D				-6.46
USA/MP-CDC-2-5771530/2022	2022-02-19		BA.2.3	ON338612	25.00	21L (Omicron)	Older	1.31	202207	North America	BA.2.3	Homo sapiens	USA	Northern Mariana Islands		Sheth et al AP		Commonwealth Healthcare Center	CDC DVD Genomics and DIscovery Team	
USA/MP-CDC-2-5875352/2022	2022-03-14		BA.2.3	ON384164	25.00	21L (Omicron)	Older	1.30	202211	North America	BA.2.3	Homo sapiens	USA	Northern Mariana Islands		Sheth et al AQ		Commonwealth Healthcare Center	CDC DVD Genomics and DIscovery Team	
USA/OH-CDC-QDX36112176/2022	2022-04-19		BA.2.3.2	ON452104	25.00	21L (Omicron)	Older	1.37	202216	North America	BA.2.3	Homo sapiens	USA	Ohio	0.00	Howard et al FJ		Quest Diagnostics Incorporated	CDC-OAMD	-6.46
USA/MN-MDH-23799/2022	2022-04-08		BA.2.3	ON392512	25.00	21L (Omicron)	Older	1.38	202214	North America	BA.2.3	Homo sapiens	USA	Minnesota	0.00	Garfin et al A				-6.46
USA/MT-CDC-MMB14924169/2022	2022-04-04		BA.2.3	ON346105	25.00	21L (Omicron)	Older	1.35	202214	North America	BA.2.3	Homo sapiens	USA	Montana	0.00	Howard et al FK		Mako Medical	CDC-OAMD	
USA/VI-CDC-2-5987819/2022	2022-05-05		BA.2.3	ON620917	25.00	21L (Omicron)	One month ago	1.37	202218	North America	BA.2.3	Homo sapiens	USA	Virgin Islands	0.00	Sheth et al AR		VI-US Virgin Islands Department of Health	CDC DVD Genomics and DIscovery Team	-6.46
MYS/M50_33739/2022	2022-04-11		BA.2.3	ON631934	25.00	21L (Omicron)	One month ago	1.37	202215	Asia	BA.2.3	Homo sapiens	Malaysia	Malaysia	0.00	Chan et al K				-6.46
USA/MP-CDC-2-5807570/2022	2022-03-01		BA.2.3	ON260367	25.00	21L (Omicron)	Older	1.37	202209	North America	BA.2.3	Homo sapiens	USA	Northern Mariana Islands		Sheth et al AS		Commonwealth Healthcare Center	CDC DVD Genomics and DIscovery Team	
USA/CA-CDC-LC0569850/2022	2022-03-28		BA.2.3	ON232784	25.00	21L (Omicron)	Older	1.37	202213	North America	BA.2.3	Homo sapiens	USA	California		Howard et al FL		Laboratory Corporation of America	CDC-OAMD	
OW739286	2022-04-18		BA.2	OW739286	24.00	21L (Omicron)	Older	1.32	202216	Europe		Homo sapiens	Slovakia	Slovakia	0.00	? O		Regional Public Health Authority with the seat in Trenčín, Slovakia	Regional Public Health Authority with the seat in Trenčín, Slovakia	-3.51
BHR/22920313416/2022	2022-04-23		BA.2	ON380726	24.00	21L (Omicron)	Older	1.33	202216	Asia		Homo sapiens	Bahrain	Bahrain	0.00	Marhoon et al C				-3.51
MMR/DSMRC-092/2022	2022-02-19		BA.2.10	ON038765	24.00	21L (Omicron)	Older	1.30	202207	Asia		Homo sapiens	Myanmar	Myanmar		Oo et al H				
OW387641	2022-03-18		BA.2	OW387641	24.00	21L (Omicron)	Older	1.32	202211	Europe		Homo sapiens	Slovakia	Slovakia		? O		Laboratory of Genomics and Bioinformatics, Comenius University Science Park	Laboratory of Genomics and Bioinformatics, Comenius University Science Park	
OW849802	2022-05-01		BA.2	OW849802	23.00	21L (Omicron)	Older	1.31	202218	Europe		Homo sapiens	Slovakia	Slovakia	0.00	? O		Laboratory of Genomics and Bioinformatics, Comenius University Science Park	Laboratory of Genomics and Bioinformatics, Comenius University Science Park	-3.51
USA/DC-CDC-LC0571422/2022	2022-03-28		BA.2	ON247637	26.00	21L (Omicron)	Older	1.34	202213	North America		Homo sapiens	USA	Washington DC		Howard et al FM		Laboratory Corporation of America	CDC-OAMD	
KEN/SS8011/2022	2022-03-30		BA.2	ON603024	25.00	21L (Omicron)	One month ago	1.35	202213	Africa		Homo sapiens	Kenya	Kenya		Githinji et al BQ				
USA/WI-CDC-LC0633848/2022	2022-05-07		BA.2	ON588333	25.00	21L (Omicron)	One month ago	1.34	202218	North America		Homo sapiens	USA	Wisconsin	0.00	Howard et al FN		Laboratory Corporation of America	CDC-OAMD	-3.51
KEN/SS8017/2022	2022-04-04		BA.2	ON603030	25.00	21L (Omicron)	One month ago	1.35	202214	Africa		Homo sapiens	Kenya	Kenya	0.00	Githinji et al BR				
USA/VI-CDC-2-5972390/2022	2022-04-26		BA.2	ON620720	25.00	21L (Omicron)	One month ago	1.35	202217	North America		Homo sapiens	USA	Virgin Islands	0.00	Sheth et al AT		VI-US Virgin Islands Department of Health	CDC DVD Genomics and DIscovery Team	-3.51
SouthAfrica/NHLS-UCT-GS-AY94/2022	2022-01-25		BA.2	OM857885	25.00	21L (Omicron)	Older	1.35	202204	Africa		Homo sapiens	South Africa	South Africa		Valley-Omar et al B		2 Military Hospital wc MAA	University of Cape Town and National Health Laboratory Service	
USA/ME-CDC-STM-7UF4N3S6C/2022	2022-06-01		BA.2.40.1	ON742545	25.00	21L (Omicron)	3-7 days ago	1.41	202222	North America		Homo sapiens	USA	Maine	0.04	Howard et al FO		'Helix'	CDC-OAMD	-3.51
USA/IA-CDC-STM-MJAGS8MEV/2022	2022-06-03		BA.2	ON765488	25.00	21L (Omicron)	1-2 days ago	1.35	202222	North America		Homo sapiens	USA	Iowa	0.04	Howard et al FP				-3.51
Switzerland/VD-CHUV-GEN10872/2022	2022-03-03		BA.2	OW150487	25.00	21L (Omicron)	Older	1.34	202209	Europe		Homo sapiens	Switzerland	Vaud		? AE		CHUV, CH-1011 Lausanne, Switzerland	laboratory of genomics and metagenomics, institute of microbiology, university hospital centre and university of lausanne, switzerland	
OW523868	2022-03-11		BA.2.9	OW523868	25.00	21L (Omicron)	Older	1.35	202210	Europe		Homo sapiens	United Kingdom	United Kingdom		? X		West of Scotland Specialist Virology Centre, NHSGGC / MRC-University of Glasgow Centre for Virus Research	West of Scotland Specialist Virology Centre, NHSGGC / MRC-University of Glasgow Centre for Virus Res	
USA/MO-CDC-ASC210735962/2022	2022-03-16		BA.2.9	ON080355	25.00	21L (Omicron)	Older	1.36	202211	North America		Homo sapiens	USA	Missouri		Howard et al FQ		Aegis Sciences Corporation	CDC-OAMD	
USA/FL-CDC-ASC210738852/2022	2022-03-24		BA.2.9	ON145375	25.00	21L (Omicron)	Older	1.36	202212	North America		Homo sapiens	USA	Florida		Howard et al FR		Aegis Sciences Corporation	CDC-OAMD	
USA/WA-CDC-UW22040107477/2022	2022-04-01		BA.2.9	ON376500	26.00	21L (Omicron)	Older	1.35	202213	North America		Homo sapiens	USA	Washington		Howard et al FS		UW Virology Lab	CDC-OAMD	
THA/AFRIMS-COV10509/2022	2022-02-09		BA.2.9	ON430555	25.00	21L (Omicron)	Older	1.35	202206	Asia		Homo sapiens	Thailand	Thailand		Phutthasophit et al G				
KEN/SS8013/2022	2022-03-26		BA.2.9	ON603026	25.00	21L (Omicron)	One month ago	1.35	202212	Africa		Homo sapiens	Kenya	Kenya		Githinji et al BS				
USA/PA-CDC-QDX35483054/2022	2022-03-31		BA.2.9	ON307600	25.00	21L (Omicron)	Older	1.36	202213	North America		Homo sapiens	USA	Pennsylvania		Howard et al FT		Quest Diagnostics Incorporated	CDC-OAMD	
USA/DC-CDC-LC0679952/2022	2022-06-01		BA.2.9	ON771495	25.00	21L (Omicron)	1-2 days ago	1.34	202222	North America		Homo sapiens	USA	Washington DC	0.04	Howard et al FU				-3.51
USA/PA-CDC-LC0575738/2022	2022-04-10		BA.2	ON297272	26.00	21L (Omicron)	Older	1.34	202215	North America		Homo sapiens	USA	Pennsylvania	0.00	Howard et al FV		Laboratory Corporation of America	CDC-OAMD	-3.51
USA/RI-Broad-CRSP_TNURVNXWXBJDVDIE/2022	2022-05-05		BA.2	ON552196	25.00	21L (Omicron)	One month ago	1.35	202218	North America		Homo sapiens	USA	Rhode Island	0.00	Lemieux et al R		Broad Institute Clinical Research Sequencing Platform	Broad Institute Genomic Center for Infectious Diseases	-3.51
USA/KS-CDC-2-5800610/2022	2022-03-07		BA.2	ON260470	25.00	21L (Omicron)	Older	1.35	202210	North America		Homo sapiens	USA	Kansas		Sheth et al AU		KS Health and Environmental Laboratories	CDC DVD Genomics and DIscovery Team	
USA/SC-CDC-LC0632154/2022	2022-05-13		BA.2.13	ON593380	26.00	21L (Omicron)	One month ago	1.35	202219	North America		Homo sapiens	USA	South Carolina	0.01	Howard et al FW		Laboratory Corporation of America	CDC-OAMD	-3.51
Denmark/DCGC-355447/2022	2022-02-03		BA.2	OW971347	25.00	21L (Omicron)	One month ago	1.35	202205	Europe		Homo sapiens	Denmark	Sjaelland		Danish Covid-19 Genome et al		Department of Bacteria, Parasites and Fungi, Statens Serum Institut, Copenhagen, Denmark	statens serum institut and the danish covid19 genome consortium (dcgc)	
OW715089	2022-03-29		BA.2	OW715089	25.00	21L (Omicron)	Older	1.35	202213	Europe		Homo sapiens	Germany	Baden-Wuerttemberg		? A		MVZ Labor Dr. Limbach & Kollegen GbR, Im Breitspiel 15; 69126 Heidelberg	Robert Koch Institute	
USA/VI-CDC-2-5876358/2022	2022-03-30		BA.2	ON384281	25.00	21L (Omicron)	Older	1.35	202213	North America		Homo sapiens	USA	Virgin Islands		Sheth et al AV		VI-US Virgin Islands Department of Health	CDC DVD Genomics and DIscovery Team	
USA/MD-CDC-QDX35326280/2022	2022-03-27		BA.2	ON203840	25.00	21L (Omicron)	Older	1.35	202213	North America		Homo sapiens	USA	Maryland		Howard et al FX		Quest Diagnostics Incorporated	CDC-OAMD	
USA/NJ-CDC-LC0589710/2022	2022-04-22		BA.2	ON414771	25.00	21L (Omicron)	Older	1.35	202216	North America		Homo sapiens	USA	New Jersey	0.00	Howard et al FY		Laboratory Corporation of America	CDC-OAMD	-3.51
SouthAfrica/NHLS-UCT-LA-Z910/2022	2022-03-02		BA.2	ON322704	25.00	21L (Omicron)	Older	1.34	202209	Africa		Homo sapiens	South Africa	South Africa		Viana et al AM		Lancet	University of Cape Town and National Health Laboratory Service	
USA/RI-CDC-2-5961108/2022	2022-04-08		BA.2	ON573462	25.00	21L (Omicron)	One month ago	1.34	202214	North America		Homo sapiens	USA	Rhode Island	0.00	Sheth et al AW		RI State Health Laboratories	CDC DVD Genomics and DIscovery Team	-3.51
MYS/H68_36349/2022	2022-05-17		BA.2.10	ON651674	25.00	21L (Omicron)	One month ago	1.34	202220	Asia		Homo sapiens	Malaysia	Malaysia	0.01	Chan et al L				-3.51
USA/VI-CDC-2-5947084/2022	2022-04-25		BA.2	ON573714	25.00	21L (Omicron)	One month ago	1.35	202217	North America		Homo sapiens	USA	Virgin Islands	0.00	Sheth et al AX		VI-US Virgin Islands Department of Health	CDC DVD Genomics and DIscovery Team	-3.51
CHN/NJ_02/2022	2022-02-10		BA.2	OM698368	25.00	21L (Omicron)	Older	1.35	202206	Asia		Homo sapiens	China	China		Geng et al A				
KEN/SS8016/2022	2022-03-28		BA.2	ON603029	25.00	21L (Omicron)	One month ago	1.35	202213	Africa		Homo sapiens	Kenya	Kenya		Githinji et al BT				
USA/AR-CDC-ASC210850174/2022	2022-04-01		BA.2	ON250727	25.00	21L (Omicron)	Older	1.35	202213	North America		Homo sapiens	USA	Arkansas		Howard et al FZ		Aegis Sciences Corporation	CDC-OAMD	
USA/NV-CDC-QDX35528937/2022	2022-04-04		BA.2	ON255468	25.00	21L (Omicron)	Older	1.34	202214	North America		Homo sapiens	USA	Nevada	0.00	Howard et al GA		Quest Diagnostics Incorporated	CDC-OAMD	
USA/GA-CDC-STM-7SM3W9P43/2022	2022-05-26		BA.2	ON717102	25.00	21L (Omicron)	One week ago	1.35	202221	North America		Homo sapiens	USA	Georgia	0.02	Howard et al GB		'Helix'	CDC-OAMD	-3.51
THA/AFRIMS-COV11201/2022	2022-03-08		BA.2	ON533357	25.00	21L (Omicron)	Older	1.35	202210	Asia		Homo sapiens	Thailand	Thailand		Phutthasophit et al H				
KEN/SS8015/2022	2022-04-04		BA.2	ON603028	25.00	21L (Omicron)	One month ago	1.37	202214	Africa		Homo sapiens	Kenya	Kenya	0.00	Githinji et al BU				
USA/TN-CDC-ASC210851261/2022	2022-04-04		BA.2	ON252307	25.00	21L (Omicron)	Older	1.36	202214	North America		Homo sapiens	USA	Tennessee	0.00	Howard et al GC		Aegis Sciences Corporation	CDC-OAMD	
Switzerland/GE-HUG-37811356/2022	2022-04-18		BA.2	OW710074	25.00	21L (Omicron)	Older	1.35	202216	Europe		Homo sapiens	Switzerland	Geneva	0.00	? AF		Laboratoire de virologie, Geneva, Switzerland	HUG	-3.51
USA/MA-Broad-CRSP_B54CSHEUDVNUOU44/2022	2022-04-18		BA.2	ON404728	25.00	21L (Omicron)	Older	1.35	202216	North America		Homo sapiens	USA	Massachusetts	0.00	Lemieux et al S		Broad Institute Clinical Research Sequencing Platform	Broad Institute Genomic Center for Infectious Diseases	-3.51
USA/RI-CDC-LC0682354/2022	2022-06-03		BA.2	ON772567	25.00	21L (Omicron)	1-2 days ago	1.35	202222	North America		Homo sapiens	USA	Rhode Island	0.04	Howard et al GD				-3.51
MYS/C883_373656/2022	2022-03-16		BA.2	ON527416	25.00	21L (Omicron)	Older	1.35	202211	Asia		Homo sapiens	Malaysia	Malaysia		Chan et al M				
USA/OK-CDC-ASC210737354/2022	2022-03-20		BA.2	ON143980	25.00	21L (Omicron)	Older	1.35	202212	North America		Homo sapiens	USA	Oklahoma		Howard et al GE		Aegis Sciences Corporation	CDC-OAMD	
MYS/N6674/2022	2022-02-10		BA.2	ON527266	25.00	21L (Omicron)	Older	1.35	202206	Asia		Homo sapiens	Malaysia	Malaysia		Chan et al N				
USA/KS-CDC-LC0607442/2022	2022-04-20		BA.2	ON497329	25.00	21L (Omicron)	Older	1.35	202216	North America		Homo sapiens	USA	Kansas	0.00	Howard et al GF		Laboratory Corporation of America	CDC-OAMD	-3.51
USA/VT-Broad-CRSP_5MU5LZYNPTGKHTP2/2022	2022-03-24		BA.2	ON200648	25.00	21L (Omicron)	Older	1.35	202212	North America		Homo sapiens	USA	Vermont		Lemieux et al T		Broad Institute Clinical Research Sequencing Platform	Broad Institute Genomic Center for Infectious Diseases	
SouthAfrica/NHLS-UCT-LA-Z957/2022	2022-03-30		BA.2	ON324375	25.00	21L (Omicron)	Older	1.35	202213	Africa		Homo sapiens	South Africa	South Africa		Viana et al AN			University of Cape Town and National Health Laboratory Service	
VNM/OUCRU-NHTD843/2022	2022-03-27		BA.2	ON764790	25.00	21L (Omicron)	1-2 days ago	1.35	202213	Asia		Homo sapiens	Vietnam	Vietnam		Kesteman et al I				
Switzerland/VD-ETHZ-35512238/2021	2021-12-30		BA.1	OV650220	26.00	21K (Omicron)	Older	1.19	202152	Europe		Homo sapiens	Switzerland	Vaud		? AG		Viollier AG; Hagmattstrasse 14, 4123 Allschwil	ETH ZURICH D-BSSE	
IND/LNHD11/2021	2021-12-12		BA.1.1.15	ON063253	23.00	21K (Omicron)	Older	1.25	202150	Asia		Homo sapiens	India	Delhi		Lomash et al				
MAR/CNRST-HM36/2021	2021-12-22		BA.1	OM011974	26.00	21K (Omicron)	Older	1.25	202151	Africa		Homo sapiens	Morocco	Morocco		Chouati et al				
TUR/ERAGEM-OM-1104/2022	2022-02-11		BA.1	OM945722	25.00	21K (Omicron)	Older	1.22	202206	Europe		Homo sapiens	Turkey	Turkey		Ozdarendeli et al B				
MWI/MLW000794/2021	2021-12-15		BA.1.14	ON099935	27.00	21K (Omicron)	Older	1.26	202150	Africa		Homo sapiens	Malawi	Malawi		Feasey et al R				
MWI/MLW000910/2022	2022-01-04		BA.1.14	ON100020	27.00	21K (Omicron)	Older	1.26	202201	Africa		Homo sapiens	Malawi	Malawi		Feasey et al S				
USA/SD-CDC-2-5594716/2022	2022-01-03		BA.1.20	OM764715	27.00	21K (Omicron)	Older	1.30	202201	North America		Homo sapiens	USA	South Dakota		Sheth et al AY		SD Public Health Laboratory	CDC DVD Genomics and DIscovery Team	
USA/ME-CDC-ASC210862542/2022	2022-02-16		BA.1.20	OM889119	27.00	21K (Omicron)	Older	1.27	202207	North America		Homo sapiens	USA	Maine		Howard et al GG		Aegis Sciences Corporation	CDC-OAMD	
FIN/FIN55-H10-THL-202126660/2021	2021-12-01		BA.1	ON532087	27.00	21K (Omicron)	Older	1.27	202148	Europe		Homo sapiens	Finland	Finland		Laine et al E				
Denmark/DCGC-312200/2022	2022-01-07		BA.1	OW767601	27.00	21K (Omicron)	Older	1.27	202201	Europe		Homo sapiens	Denmark	Hovedstaden		Danish Covid-19 Genome et al		Department of Bacteria, Parasites and Fungi, Statens Serum Institut, Copenhagen, Denmark	statens serum institut and the danish covid19 genome consortium (dcgc)	
BRA/CEC-1001-051/2022	2022-01-10		BA.1.15	ON241689	22.00	21K (Omicron)	Older	1.18	202202	South America		Homo sapiens	Brazil	Rio de Janeiro		Souza et al K				
BRA/CWA-0601-002/2022	2022-01-06		BA.1	ON241727	25.00	21K (Omicron)	Older	1.20	202201	South America		Homo sapiens	Brazil	Rio de Janeiro		Souza et al L				
BRA/CRO-0601-047/2022	2022-01-06		BA.1	ON241716	24.00	21K (Omicron)	Older	1.20	202201	South America		Homo sapiens	Brazil	Rio de Janeiro		Souza et al M				
